"id","age_sim","gender_sim","race_ethn_sim","neur_1_sim","neur_2_sim","neur_3_sim","neur_4_sim","neur_5_sim","neur_6_sim","neur_7_sim","neur_8_sim","lic_1_sim","lic_2_sim","lic_3_sim","lic_4_sim","lic_5_sim","lic_6_sim","lic_7_sim","lic_8_sim","lic_9_sim","lic_10_sim","lic_11_sim"
265,"19","Man","White",4,2,3,4,3,4,3,1,4,1,2,2,3,3,2,3,1,1,4
266,"20","Man","White",4,3,3,3,2,3,3,4,3,3,3,2,5,4,3,3,4,2,4
267,"20","Woman","Hispanic or Latino",3,2,4,1,2,3,2,3,4,2,4,3,4,4,3,5,5,3,3
268,"20","Woman","White",2,2,4,3,3,3,2,4,3,2,2,2,2,3,5,2,3,1,4
269,"19","Nonbinary or genderqueer","Hispanic or Latino",2,3,3,3,5,2,3,3,3,4,2,2,2,5,3,2,2,1,3
270,"21","Woman","Middle Eastern or North African",3,2,3,3,3,3,2,3,2,4,2,4,1,3,3,3,4,1,4
271,"19","Woman","White",4,5,3,3,3,3,4,3,3,4,2,2,3,4,4,5,3,4,4
272,"20","Woman","White",3,4,5,3,4,2,2,3,4,3,3,3,4,3,4,4,4,2,3
273,"21","Woman","White",3,3,3,3,4,5,4,2,4,1,3,2,3,3,3,2,2,3,5
274,"18","Woman","White",3,3,2,3,2,4,3,2,2,4,2,3,2,2,3,2,4,2,4
275,"21","Man","White",3,3,4,4,3,3,2,3,2,4,3,4,2,3,4,3,1,4,5
276,"20","Man","Asian",3,3,3,3,5,4,3,3,3,2,3,2,3,4,3,4,2,4,3
277,"21","Woman","Asian",2,2,3,3,3,4,4,4,4,3,4,3,2,3,2,2,3,5,4
278,"22","Woman","Black or African American",4,3,3,3,4,5,2,2,3,3,3,3,3,3,4,4,3,2,3
279,"18","Man","White",4,4,4,3,4,3,3,4,2,3,4,2,3,2,2,4,2,4,4
280,"18","Woman","White",3,4,3,4,3,3,2,4,3,3,3,3,4,3,5,3,4,3,4
281,"18","Woman","Hispanic or Latino",4,5,2,3,2,2,4,4,4,3,3,4,2,2,3,3,2,3,4
282,"19","Woman","Asian",3,3,3,5,5,4,3,3,2,3,3,4,3,3,3,3,2,3,4
283,"19","Woman","White",2,3,2,4,3,3,4,4,2,4,4,3,4,4,2,4,3,4,4
284,"21","Woman","Black or African American",2,2,1,3,2,3,1,5,2,3,2,5,4,4,2,4,4,2,4
285,"18","Woman","Black or African American",1,3,4,3,2,3,3,2,1,3,4,2,4,2,2,5,3,4,1
286,"22","Woman","White",3,5,2,4,3,4,3,4,3,1,4,3,3,3,4,2,3,2,4
287,"18","Man","Asian",2,4,2,4,2,2,3,3,1,1,2,3,3,3,3,3,2,4,4
288,"21","Man","Black or African American",2,4,2,2,2,2,3,3,3,2,3,2,3,1,4,1,3,4,5
289,"21","Nonbinary or genderqueer","Hispanic or Latino",3,3,5,5,1,4,3,3,3,4,2,4,2,5,4,3,4,2,4
290,"21","Man","Black or African American",4,1,4,1,3,4,4,3,3,3,3,3,2,4,4,5,3,4,4
291,"20","Man","Black or African American",3,3,3,4,3,4,2,3,3,3,3,3,5,2,3,3,4,3,4
292,"18","Woman","Black or African American",4,3,2,4,2,4,3,2,4,4,2,2,3,3,3,4,3,4,3
293,"18","Woman","White",4,4,2,3,2,4,2,3,3,4,3,2,2,3,3,3,3,2,5
294,"19","Woman","White",4,1,3,3,2,3,4,3,3,2,2,3,3,4,4,4,2,3,4
295,"22","Woman","White",2,2,2,3,2,2,4,4,4,4,4,4,4,5,4,4,3,1,4
296,"21","Man","Hispanic or Latino",3,3,3,2,1,3,3,2,5,4,5,2,4,2,1,4,2,3,5
297,"21","Woman","White",3,3,2,1,3,3,3,3,4,2,3,2,3,4,3,3,1,2,5
298,"19","Woman","Asian",2,3,2,3,4,5,1,5,3,3,3,2,4,4,4,3,3,2,5
299,"20","Man","White",4,4,2,4,2,2,3,3,2,4,2,4,3,3,3,3,2,4,4
300,"18","Woman","Hispanic or Latino",5,4,3,2,3,4,4,5,1,3,2,4,3,3,4,2,5,2,4
301,"19","Woman","White",3,1,3,2,1,3,3,4,2,3,4,4,4,4,4,1,3,2,5
302,"18","Woman","White",2,4,2,3,2,3,4,3,3,2,3,3,3,4,3,4,2,3,2
303,"19","Man","White",3,4,3,4,4,2,3,5,2,1,4,3,3,4,3,3,4,3,4
304,"18","Woman","Native Hawaiian or Pacific Islander",3,2,2,2,4,2,3,4,1,4,3,4,4,4,4,2,1,3,4
305,"22","Woman","White",3,2,1,3,4,3,2,2,5,3,2,3,4,1,2,4,3,3,3
306,"18","Woman","Hispanic or Latino",3,2,2,3,4,2,3,3,3,4,3,3,4,5,2,3,2,3,5
307,"19","Man","Asian",4,2,4,4,3,2,2,2,4,3,1,3,3,4,4,5,3,3,4
308,"20","Woman","White",2,3,3,2,4,2,4,3,2,2,3,4,3,3,2,1,2,3,3
309,"19","Woman","Black or African American",3,2,4,2,1,2,4,4,4,2,3,2,2,3,4,2,5,3,3
310,"20","Woman","White",3,4,2,3,2,4,2,4,4,3,2,2,5,2,4,4,3,2,3
311,"18","Man","Hispanic or Latino",3,3,3,3,3,2,2,3,3,3,3,3,4,2,3,2,3,2,3
312,"21","Man","Hispanic or Latino",3,2,3,2,3,1,1,3,2,3,3,2,3,1,3,1,2,2,4
313,"19","Woman","American Indian or Alaska Native",3,4,2,2,3,4,2,3,4,2,4,4,3,3,3,3,4,4,4
314,"21","Woman","Middle Eastern or North African",3,4,3,2,3,3,3,4,4,3,2,3,5,2,3,4,2,4,3
315,"19","Man","White",1,2,3,3,1,5,3,1,4,2,3,2,1,3,5,1,4,4,3
316,"18","Woman","White",5,2,4,3,4,3,4,3,2,3,2,5,3,2,3,3,3,2,5
317,"18","Man","White",2,2,3,4,2,2,3,1,3,4,5,2,3,2,4,4,2,3,5
318,"19","Woman","White",1,4,5,3,1,4,3,4,3,4,3,2,3,2,3,5,2,2,5
319,"19","Woman","White",3,4,3,3,3,4,3,4,3,4,3,3,4,2,3,3,3,2,4
320,"20","Woman","Asian",5,3,3,3,3,2,3,3,3,3,4,1,4,5,3,3,4,1,4
321,"19","Woman","White",2,3,4,5,3,2,4,4,3,2,4,4,5,3,3,2,4,4,3
322,"21","Man","White",2,3,2,3,3,3,4,2,3,3,3,3,3,3,3,4,3,2,2
323,"19","Woman","Hispanic or Latino",3,3,3,5,2,2,4,3,4,2,3,2,3,3,4,2,2,4,3
324,"19","Man","Middle Eastern or North African",2,2,2,2,3,2,3,2,3,4,3,2,2,1,4,4,3,3,4
325,"18","Woman","White",3,4,2,3,4,4,4,2,2,3,4,3,3,4,1,2,3,3,5
326,"21","Woman","White",3,4,4,3,2,2,4,4,4,3,4,3,3,4,3,3,2,4,4
327,"21","Woman","White",4,3,3,2,3,5,4,2,2,3,2,3,3,3,3,2,3,2,3
328,"20","Man","White",1,4,1,3,3,2,3,4,3,4,3,3,3,2,2,2,3,4,1
329,"18","Woman","White",1,3,3,3,3,3,3,3,2,3,2,3,3,4,2,3,2,5,4
330,"21","Woman","White",3,4,4,2,2,3,2,1,3,4,3,3,3,2,3,4,4,4,3
331,"18","Woman","Asian",4,3,5,2,3,1,4,4,3,2,4,2,3,3,2,4,4,2,4
332,"19","Woman","Hispanic or Latino",2,3,4,3,2,3,3,4,2,4,4,3,3,3,3,3,2,2,2
333,"22","Nonbinary or genderqueer","White",3,4,3,3,4,3,3,3,3,3,4,3,3,4,4,3,3,3,4
334,"20","Woman","White",4,4,2,2,2,3,3,4,2,2,4,3,4,3,1,3,3,2,5
335,"21","Man","White",3,2,2,2,4,1,3,3,3,3,3,4,4,4,3,4,4,2,3
336,"20","Woman","Black or African American",2,3,4,4,4,3,4,2,2,3,2,3,3,4,4,4,2,3,4
337,"18","Woman","Black or African American",4,4,2,5,3,3,3,2,5,4,4,4,3,3,4,2,3,3,2
338,"19","Woman","Black or African American",2,2,3,3,3,3,4,2,2,4,4,3,3,4,4,3,3,5,4
339,"20","Woman","White",3,3,3,3,2,3,3,4,2,3,3,3,4,3,4,4,3,2,5
340,"19","Woman","Hispanic or Latino",2,3,2,3,4,2,3,4,5,5,4,2,4,4,4,3,4,3,4
341,"19","Nonbinary or genderqueer","White",3,4,4,2,3,3,3,3,3,3,3,1,4,3,4,4,4,4,4
342,"20","Woman","Asian",4,2,2,2,4,4,2,5,1,2,2,2,4,3,4,2,2,3,4
343,"18","Nonbinary or genderqueer","Hispanic or Latino",2,2,4,4,1,1,2,2,2,2,3,5,3,2,4,3,2,3,1
344,"19","Woman","Hispanic or Latino",2,3,5,3,2,2,2,2,4,5,2,2,3,2,3,4,4,3,4
345,"21","Woman","Black or African American",3,3,4,3,3,3,3,2,4,3,2,2,3,4,3,1,1,3,4
346,"19","Woman","White",2,4,3,2,3,2,5,3,4,2,2,4,3,3,4,3,2,4,4
347,"19","Man","White",3,3,3,3,3,3,5,2,3,3,1,3,3,4,3,3,4,4,5
348,"18","Woman","White",3,2,3,4,1,4,4,5,3,3,2,1,4,2,2,2,3,3,3
349,"19","Man","White",2,2,3,2,2,2,4,3,4,5,2,4,3,5,1,3,2,4,2
350,"20","Man","White",3,4,3,4,2,3,5,5,2,4,3,4,4,4,4,4,2,1,4
351,"19","Woman","White",2,4,4,4,3,4,4,3,4,2,2,3,4,3,3,2,2,3,5
352,"18","Man","White",3,4,2,3,2,3,2,2,1,2,2,4,2,4,3,4,4,3,3
353,"20","Woman","Hispanic or Latino",5,3,3,2,4,2,2,2,2,4,2,4,5,3,2,4,3,2,4
354,"22","Nonbinary or genderqueer","American Indian or Alaska Native",3,5,2,4,3,3,4,3,3,2,5,3,3,3,4,3,4,3,3
355,"19","Woman","Black or African American",4,4,2,4,3,1,4,2,3,3,2,4,2,2,3,4,4,4,4
356,"22","Man","Black or African American",1,4,2,3,2,4,4,4,1,4,5,2,4,3,4,4,3,4,3
357,"22","Man","White",3,3,4,5,4,3,4,2,3,4,5,2,4,2,5,2,3,2,4
358,"19","Woman","White",2,2,2,2,2,3,2,2,4,2,3,1,3,3,3,2,1,3,6
359,"20","Man","Middle Eastern or North African",3,3,2,2,3,3,4,1,2,4,3,1,2,4,4,4,3,1,5
360,"21","Man","White",3,5,5,2,3,3,3,3,4,3,3,3,4,4,2,3,2,2,4
361,"18","Man","White",3,3,4,4,1,5,4,3,3,3,3,2,3,2,4,3,1,4,3
362,"20","Man","White",4,3,3,2,2,2,2,4,3,3,3,2,3,2,3,2,2,3,3
363,"20","Woman","Hispanic or Latino",4,3,3,3,4,1,4,3,2,4,4,4,3,4,3,3,3,3,3
364,"20","Woman","White",3,3,3,2,4,3,4,3,1,3,3,4,4,3,3,2,3,2,5
365,"19","Man","Middle Eastern or North African",2,4,2,2,2,3,3,2,4,4,4,4,2,3,4,3,4,3,4
366,"19","Man","Hispanic or Latino",3,2,4,2,3,2,4,2,1,4,4,2,4,1,3,2,2,4,3
367,"18","Man","Asian",1,3,3,3,4,3,4,2,3,3,2,3,2,4,3,3,4,2,4
368,"18","Woman","American Indian or Alaska Native",3,3,3,4,4,4,4,3,4,3,4,4,2,2,3,3,3,4,4
369,"18","Man","White",3,3,3,2,1,4,3,3,3,3,2,3,3,4,3,4,5,2,4
370,"18","Woman","White",3,5,3,2,3,3,3,2,4,3,4,2,2,3,4,3,2,4,5
371,"20","Woman","White",2,3,4,2,2,4,2,3,2,5,3,3,3,1,4,3,5,3,4
372,"19","Woman","Asian",3,2,3,3,3,3,2,1,2,4,4,3,3,4,3,4,3,3,3
373,"21","Woman","White",2,3,3,4,3,4,4,3,4,4,4,2,3,3,4,4,1,3,4
374,"19","Woman","Hispanic or Latino",3,3,3,3,3,1,4,2,3,2,2,1,4,4,4,3,2,2,3
375,"21","Woman","White",3,3,4,3,4,3,3,2,3,4,3,4,2,4,2,3,2,4,3
376,"18","Woman","Asian",3,4,3,4,2,4,3,4,2,4,3,4,3,3,4,2,3,1,4
377,"22","Woman","White",2,2,5,3,2,5,4,4,3,3,4,3,4,2,5,2,4,2,5
378,"22","Woman","Asian",4,5,3,5,3,2,4,2,3,4,2,4,3,5,4,4,3,3,4
379,"20","Woman","Asian",3,1,3,4,4,3,3,3,1,4,1,4,4,2,3,3,2,3,3
380,"20","Woman","White",3,3,4,3,3,5,2,4,4,4,4,2,3,1,4,2,2,3,3
381,"19","Woman","White",4,3,2,1,4,3,3,2,5,4,4,2,4,4,2,3,3,3,4
382,"21","Woman","White",2,3,3,3,1,3,4,3,3,4,3,4,4,3,2,4,3,1,3
383,"18","Woman","White",4,2,5,3,2,4,3,2,3,2,1,3,2,2,2,3,4,3,4
384,"22","Woman","Middle Eastern or North African",1,4,5,4,4,4,5,4,2,2,2,3,2,2,3,4,4,4,4
385,"22","Woman","White",4,2,5,4,2,2,4,2,4,2,2,5,4,3,2,2,3,3,3
386,"20","Woman","White",3,2,4,3,4,3,2,3,4,3,2,3,3,4,3,3,2,1,5
387,"20","Man","White",2,3,4,2,4,2,4,5,3,2,2,3,2,2,2,2,3,3,4
388,"21","Woman","American Indian or Alaska Native",4,3,2,3,3,4,3,3,1,4,1,4,2,4,3,3,2,2,3
389,"19","Woman","White",3,4,3,4,2,2,2,3,2,3,4,2,2,2,3,2,4,1,4
390,"21","Woman","Middle Eastern or North African",3,3,3,3,1,3,4,2,2,4,3,2,5,4,3,3,2,3,5
391,"18","Woman","White",1,4,3,2,3,3,2,2,2,4,2,3,4,3,3,2,3,2,5
392,"18","Woman","White",3,3,4,2,3,3,1,4,2,3,4,4,4,4,2,3,3,4,4
393,"19","Man","Hispanic or Latino",3,3,3,3,1,5,3,4,2,4,2,3,3,4,3,5,2,3,5
394,"20","Man","Hispanic or Latino",4,3,3,4,3,3,2,3,3,4,2,1,4,3,3,3,4,3,3
395,"20","Woman","Asian",4,3,3,4,3,4,2,3,2,3,2,3,3,3,3,4,4,2,6
396,"20","Woman","White",3,4,4,4,3,4,2,3,4,4,2,4,5,4,3,4,3,5,3
397,"21","Woman","White",3,3,3,4,1,3,2,2,3,3,1,1,3,4,1,2,3,2,5
398,"18","Woman","American Indian or Alaska Native",3,3,3,5,4,3,3,2,4,2,2,3,3,3,3,2,4,3,4
399,"19","Man","Asian",4,3,4,3,3,4,1,2,3,4,2,4,3,3,1,3,3,3,4
400,"20","Man","White",3,5,1,3,3,4,3,3,3,2,4,3,1,2,4,2,3,2,4
